,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
1174,  623,19.266,0.1561,18.259,0.0362,18.027,0.0622,1.107, 1.079, 2.569, 0.958, 3.083,99.999,0
1175,   95,19.840,0.1669,19.151,0.0810,18.867,0.1390,1.470, 3.629, 1.087, 0.938, 1.278,99.999,0
1176,18022,18.671,0.0837,17.957,0.1577,17.470,0.0449,1.170, 0.589, 2.695, 0.974, 3.289,99.999,0
1177,15277,20.482,0.4939,19.425,0.0623,19.045,0.0428,0.806,-0.413, 0.778, 0.968, 0.944,99.999,0
1178,19307,18.800,0.0321,18.151,0.0359,17.742,0.0340,1.471, 0.335, 0.695, 0.941, 0.820,99.999,0
1179, 6697,19.182,0.2114,18.004,0.0517,17.522,0.0320,0.904, 0.455, 2.256, 0.980, 2.771,99.999,0
1180, 4796,19.356,0.0760,18.311,0.0212,18.138,0.0308,0.935, 0.118, 0.824, 0.990, 1.022,99.999,0
1181, 5933,18.892,0.0640,18.185,0.2279,17.801,0.0315,1.114, 1.678, 1.939, 0.876, 2.128,99.999,0
1182, 9313,18.997,0.0932,18.527,0.0327,18.343,0.0542,1.248, 2.646, 1.555, 0.929, 1.810,99.999,0
1183,11278,18.921,0.0256,18.011,0.0461,17.792,0.0140,1.111, 1.302, 0.148, 0.944, 0.175,99.999,0
1184, 2865,19.540,0.0375,18.382,0.0214,18.194,0.0196,0.815, 0.740, 0.171, 0.975, 0.208,99.999,0
1185, 4070,20.786,0.2316,19.456,0.0607,19.203,0.0673,0.750,-0.923, 0.702, 0.967, 0.850,99.999,0
1186,10155,18.496,0.1217,17.803,0.1262,17.307,0.0267,1.298, 0.379, 3.345, 0.900, 3.774,99.999,0
1187,  905,20.423,0.3251,19.360,0.2799,19.408,0.0729,0.846, 0.654, 0.685, 0.963, 0.827,99.999,0
1188,16694,19.262,0.1441,18.247,0.0987,18.118,0.0263,0.972, 1.022, 1.174, 0.937, 1.379,99.999,0
1189, 9451,20.404,0.1613,19.700,0.0916,19.417,0.0637,0.998,-2.400, 0.930, 0.902, 1.052,99.999,0
1190,11639,19.249,0.0293,18.663,0.0855,18.351,0.0314,1.064, 1.015, 0.781, 0.941, 0.921,99.999,0
1191,11001,20.113,0.0702,19.315,0.0947,18.952,0.0727,1.030,-2.061, 0.804, 0.924, 0.931,99.999,0
1192, 8937,17.998,0.0532,17.245,0.0285,17.039,0.0176,1.148, 0.986,-0.738, 0.955,-0.884,99.999,0
1193,15520,19.622,0.0497,18.968,0.0416,18.617,0.0385,0.808,-1.172, 0.827, 0.977, 1.013,99.999,0
